
vocab fequency
android 3773
app 3143
apps 2471
phone 2376
google 2101
device 1876
use 1799
data 1606
settings 1117
like 1114
also 1107
one 1059
using 1039
root 1004
install 997
system 962
file 894
need 878
get 868
way 812
com 809
adb 779
play 775
dont 768
would 753
want 751
time 729
application 707
devices 690
screen 684
go 660
work 651
new 645
set 633
backup 631
version 624
usb 624
see 609
access 597
battery 581
user 571
market 569
applications 568
find 559
open 558
card 556
may 539
files 527
used 519
account 519
store 518
even 509
without 505
sd 489
button 481
could 481
might 480
answer 479
available 475
rom 474
download 472
installed 466
option 466
back 462
know 460
first 458
update 457
apk 440
doesnt 438
still 435
default 434
make 433
running 427
able 426
free 424
mode 424
rooted 418
im 418
run 406
phones 405
menu 405
network 405
list 404
wifi 400
possible 400
try 398
recovery 398
power 390
storage 389
another 388
via 387
however 384
many 382
different 381
command 381
name 376
galaxy 372
etc 370
found 370
gps 368
shell 366
select 366
pc 361
sure 359
click 357
custom 355
youre 354
nexus 353
change 350
package 349
works 349
question 348
gmail 348
call 340
example 336
cant 336
number 335
http 334
check 329
press 326
since 323
home 323
well 323
permissions 321
source 318
code 318
support 314
users 311
os 311
sync 308
mobile 308
stock 306
disable 306
problem 305
location 305
ive 304
much 304
developer 300
service 294
start 293
done 292
samsung 292
something 289
tap 289
feature 289
information 289
good 286
linux 283
read 281
really 280
two 280
add 279
though 279
sms 278
actually 278
solution 278
remove 276
probably 275
think 274
note 273
keep 272
maps 272
contacts 272
connection 271
theres 269
case 269
memory 267
options 264
browser 263
security 263
boot 261
long 259
allows 257
lock 256
already 255
take 254
clear 254
right 253
text 250
cache 250
specific 249
turn 248
based 247
thats 247
called 246
things 245
uses 245
flash 245
create 242
windows 239
server 238
method 238
enable 237
edit 235
permission 235
image 235
yes 234
following 234
web 233
current 233
software 232
usually 230
internet 230
services 228
wont 227
updates 227
reset 224
notification 222
partition 221
versions 221
look 220
full 220
reboot 220
youll 220
computer 218
choose 217
simply 216
manager 215
sdcard 214
seems 213
page 211
internal 209
automatically 207
folder 207
rooting 205
droid 205
search 205
least 205
either 204
htc 204
developers 202
https 202
cyanogenmod 199
email 199
show 197
line 197
allow 196
installing 196
far 196
tasker 195
message 195
id 193
process 192
connected 191
put 191
got 190
keyboard 190
best 189
restore 188
manage 188
space 186
say 185
thing 185
give 182
link 182
copy 181
features 180
similar 180
camera 180
chrome 180
connect 179
delete 179
lot 179
help 178
hardware 178
charge 177
drivers 177
factory 176
tools 176
means 175
every 174
xda 173
always 173
reason 171
old 171
enabled 171
kernel 171
block 170
send 170
anything 169
pretty 169
dev 169
setting 169
uninstall 166
requires 166
save 166
type 166
volume 166
issue 165
little 164
address 164
calendar 164
icon 163
next 163
instead 163
profile 163
official 163
fastboot 163
view 162
size 161
left 160
control 159
point 159
last 159
several 159
low 159
better 158
su 158
details 157
media 157
around 156
info 156
built 156
task 155
people 154
order 154
switch 154
password 154
stored 154
pm 154
terminal 154
worked 154
youve 153
top 153
bit 153
directory 152
display 152
second 151
tried 151
contact 151
messages 150
needs 150
enter 149
program 148
notifications 148
music 147
video 147
looking 146
must 146
calls 146
charger 146
multiple 145
looks 144
made 144
require 143
bluetooth 143
currently 143
working 143
sdk 142
non 142
never 141
everything 141
usage 140
auto 140
fi 140
roms 139
move 139
didnt 139
needed 139
key 139
isnt 138
downloaded 138
part 138
tab 137
let 137
getting 137
dropbox 137
including 136
platform 136
voice 136
wi 136
going 135
easy 135
end 135
sign 135
often 134
desktop 134
safe 134
bootloader 134
hard 133
local 133
launcher 132
sim 132
level 132
fix 132
mentioned 132
external 132
emulator 131
party 131
manually 130
ram 130
normal 130
hold 130
charging 130
accounts 130
stop 130
functionality 129
steps 129
cable 129
simple 127
